cell_line,analysis_type,chrom,requested_chrom,region_start_bp,region_end_bp,resolution_bp,bin_start_bp,bin_end_bp,timing_s_phase_midpoint
RPE1,line_profile,1,chr1,0,248950000,10000,0,10000,
RPE1,line_profile,1,chr1,0,248950000,10000,10000,20000,2.427069674733101
RPE1,line_profile,1,chr1,0,248950000,10000,20000,30000,2.291393417162818
RPE1,line_profile,1,chr1,0,248950000,10000,30000,40000,2.3424496089891127
RPE1,line_profile,1,chr1,0,248950000,10000,40000,50000,2.665182313648209
RPE1,line_profile,1,chr1,0,248950000,10000,50000,60000,1.9711110619683887
RPE1,line_profile,1,chr1,0,248950000,10000,60000,70000,2.6497417537756838
RPE1,line_profile,1,chr1,0,248950000,10000,70000,80000,2.696915023155549
RPE1,line_profile,1,chr1,0,248950000,10000,80000,90000,2.9050595430953203
RPE1,line_profile,1,chr1,0,248950000,10000,90000,100000,2.601773486223313
RPE1,line_profile,1,chr1,0,248950000,10000,100000,110000,2.2993106817680276
RPE1,line_profile,1,chr1,0,248950000,10000,110000,120000,2.5096617624323185
RPE1,line_profile,1,chr1,0,248950000,10000,120000,130000,2.5028480689609776
RPE1,line_profile,1,chr1,0,248950000,10000,130000,140000,2.370041801033118
RPE1,line_profile,1,chr1,0,248950000,10000,140000,150000,2.474675744683467
RPE1,line_profile,1,chr1,0,248950000,10000,150000,160000,2.3368109004945548
RPE1,line_profile,1,chr1,0,248950000,10000,160000,170000,2.243352723354165
RPE1,line_profile,1,chr1,0,248950000,10000,170000,180000,2.3459721310899804
RPE1,line_profile,1,chr1,0,248950000,10000,180000,190000,2.601091423165151
RPE1,line_profile,1,chr1,0,248950000,10000,190000,200000,2.5197843670801188
RPE1,line_profile,1,chr1,0,248950000,10000,200000,210000,2.426635483460073
RPE1,line_profile,1,chr1,0,248950000,10000,210000,220000,
RPE1,line_profile,1,chr1,0,248950000,10000,220000,230000,
RPE1,line_profile,1,chr1,0,248950000,10000,230000,240000,
RPE1,line_profile,1,chr1,0,248950000,10000,240000,250000,
RPE1,line_profile,1,chr1,0,248950000,10000,250000,260000,2.452162838114423
RPE1,line_profile,1,chr1,0,248950000,10000,260000,270000,2.5552534281492054
RPE1,line_profile,1,chr1,0,248950000,10000,270000,280000,2.4138997922140146
RPE1,line_profile,1,chr1,0,248950000,10000,280000,290000,2.3873022285477723
RPE1,line_profile,1,chr1,0,248950000,10000,290000,300000,2.478174086331341
RPE1,line_profile,1,chr1,0,248950000,10000,300000,310000,
RPE1,line_profile,1,chr1,0,248950000,10000,310000,320000,
RPE1,line_profile,1,chr1,0,248950000,10000,320000,330000,
RPE1,line_profile,1,chr1,0,248950000,10000,330000,340000,
RPE1,line_profile,1,chr1,0,248950000,10000,340000,350000,2.6102172852341723
RPE1,line_profile,1,chr1,0,248950000,10000,350000,360000,2.787456980338604
RPE1,line_profile,1,chr1,0,248950000,10000,360000,370000,2.896458679630012
RPE1,line_profile,1,chr1,0,248950000,10000,370000,380000,2.8834705853562594
RPE1,line_profile,1,chr1,0,248950000,10000,380000,390000,2.8719338807703925
RPE1,line_profile,1,chr1,0,248950000,10000,390000,400000,2.9375902581182514
RPE1,line_profile,1,chr1,0,248950000,10000,400000,410000,2.880427598721418
RPE1,line_profile,1,chr1,0,248950000,10000,410000,420000,2.860776861766025
RPE1,line_profile,1,chr1,0,248950000,10000,420000,430000,2.8047475241628894
RPE1,line_profile,1,chr1,0,248950000,10000,430000,440000,2.6483664461139367
RPE1,line_profile,1,chr1,0,248950000,10000,440000,450000,2.58834357795109
RPE1,line_profile,1,chr1,0,248950000,10000,450000,460000,2.6452626911245796
RPE1,line_profile,1,chr1,0,248950000,10000,460000,470000,2.7802621910394754
RPE1,line_profile,1,chr1,0,248950000,10000,470000,480000,2.499175088457699
RPE1,line_profile,1,chr1,0,248950000,10000,480000,490000,2.546846382086769
RPE1,line_profile,1,chr1,0,248950000,10000,490000,500000,2.314102363746001
RPE1,line_profile,1,chr1,0,248950000,10000,500000,510000,2.255749482688437
RPE1,line_profile,1,chr1,0,248950000,10000,510000,520000,2.174856503990265
RPE1,line_profile,1,chr1,0,248950000,10000,520000,530000,2.253791292672177
RPE1,line_profile,1,chr1,0,248950000,10000,530000,540000,2.3335301839114053
RPE1,line_profile,1,chr1,0,248950000,10000,540000,550000,
RPE1,line_profile,1,chr1,0,248950000,10000,550000,560000,
RPE1,line_profile,1,chr1,0,248950000,10000,560000,570000,
RPE1,line_profile,1,chr1,0,248950000,10000,570000,580000,
RPE1,line_profile,1,chr1,0,248950000,10000,580000,590000,2.8161476860533874
RPE1,line_profile,1,chr1,0,248950000,10000,590000,600000,2.696243658579382
RPE1,line_profile,1,chr1,0,248950000,10000,600000,610000,2.6378226265009515
RPE1,line_profile,1,chr1,0,248950000,10000,610000,620000,2.853707920945599
RPE1,line_profile,1,chr1,0,248950000,10000,620000,630000,2.911582126384933
RPE1,line_profile,1,chr1,0,248950000,10000,630000,640000,2.8523159328751477
RPE1,line_profile,1,chr1,0,248950000,10000,640000,650000,2.833652057625061
