cell_line,analysis_type,chrom,requested_chrom,region_start_bp,region_end_bp,resolution_bp,bin_start_bp,bin_end_bp,timing_s_phase_midpoint
DM,periodic_interval,chr8,chr8,126425747,127997820,10000,126425747,126435747,2.533853140775645
DM,periodic_interval,chr8,chr8,126425747,127997820,10000,126435747,126445747,2.485768860339394
DM,periodic_interval,chr8,chr8,126425747,127997820,10000,126445747,126455747,2.447177440484158
DM,periodic_interval,chr8,chr8,126425747,127997820,10000,126455747,126465747,2.456566153371874
DM,periodic_interval,chr8,chr8,126425747,127997820,10000,126465747,126475747,2.4618141143903736
DM,periodic_interval,chr8,chr8,126425747,127997820,10000,126475747,126485747,2.4223045120571043
DM,periodic_interval,chr8,chr8,126425747,127997820,10000,126485747,126495747,2.423734076389658
DM,periodic_interval,chr8,chr8,126425747,127997820,10000,126495747,126505747,2.4257892370579492
DM,periodic_interval,chr8,chr8,126425747,127997820,10000,126505747,126515747,2.4225363774184587
DM,periodic_interval,chr8,chr8,126425747,127997820,10000,126515747,126525747,2.4136557622120125
DM,periodic_interval,chr8,chr8,126425747,127997820,10000,126525747,126535747,2.400322615447791
DM,periodic_interval,chr8,chr8,126425747,127997820,10000,126535747,126545747,2.4122987302040673
DM,periodic_interval,chr8,chr8,126425747,127997820,10000,126545747,126555747,2.4682624118172356
DM,periodic_interval,chr8,chr8,126425747,127997820,10000,126555747,126565747,2.477342801947172
DM,periodic_interval,chr8,chr8,126425747,127997820,10000,126565747,126575747,2.4829993235675243
DM,periodic_interval,chr8,chr8,126425747,127997820,10000,126575747,126585747,2.4745141763789804
DM,periodic_interval,chr8,chr8,126425747,127997820,10000,126585747,126595747,2.456380664602
DM,periodic_interval,chr8,chr8,126425747,127997820,10000,126595747,126605747,2.4209762324174258
DM,periodic_interval,chr8,chr8,126425747,127997820,10000,126605747,126615747,2.387903878792615
DM,periodic_interval,chr8,chr8,126425747,127997820,10000,126615747,126625747,2.4891774643823132
DM,periodic_interval,chr8,chr8,126425747,127997820,10000,126625747,126635747,2.608731825363935
DM,periodic_interval,chr8,chr8,126425747,127997820,10000,126635747,126645747,2.5030673819176528
DM,periodic_interval,chr8,chr8,126425747,127997820,10000,126645747,126655747,2.3886390496425665
DM,periodic_interval,chr8,chr8,126425747,127997820,10000,126655747,126665747,2.3820255349696913
DM,periodic_interval,chr8,chr8,126425747,127997820,10000,126665747,126675747,2.381476639972854
DM,periodic_interval,chr8,chr8,126425747,127997820,10000,126675747,126685747,2.48231051834376
DM,periodic_interval,chr8,chr8,126425747,127997820,10000,126685747,126695747,2.473817715463292
DM,periodic_interval,chr8,chr8,126425747,127997820,10000,126695747,126705747,2.348827305399599
DM,periodic_interval,chr8,chr8,126425747,127997820,10000,126705747,126715747,2.334717188744951
DM,periodic_interval,chr8,chr8,126425747,127997820,10000,126715747,126725747,2.3697516287931233
DM,periodic_interval,chr8,chr8,126425747,127997820,10000,126725747,126735747,2.3675710578961424
DM,periodic_interval,chr8,chr8,126425747,127997820,10000,126735747,126745747,2.3700444541791907
DM,periodic_interval,chr8,chr8,126425747,127997820,10000,126745747,126755747,2.4229916436710814
