cell_line,analysis_type,chrom,requested_chrom,region_start_bp,region_end_bp,resolution_bp,bin_start_bp,bin_end_bp,timing_s_phase_midpoint
PC3DM,periodic_interval,8,chr8,124000000,125600000,10000,124000000,124010000,2.4689366141211773
PC3DM,periodic_interval,8,chr8,124000000,125600000,10000,124010000,124020000,2.493810849129395
PC3DM,periodic_interval,8,chr8,124000000,125600000,10000,124020000,124030000,2.520565429574505
PC3DM,periodic_interval,8,chr8,124000000,125600000,10000,124030000,124040000,2.548168794903795
PC3DM,periodic_interval,8,chr8,124000000,125600000,10000,124040000,124050000,2.559650899811675
PC3DM,periodic_interval,8,chr8,124000000,125600000,10000,124050000,124060000,2.593518631210172
PC3DM,periodic_interval,8,chr8,124000000,125600000,10000,124060000,124070000,2.646498982048213
PC3DM,periodic_interval,8,chr8,124000000,125600000,10000,124070000,124080000,2.6545518585538046
PC3DM,periodic_interval,8,chr8,124000000,125600000,10000,124080000,124090000,2.7027505178660114
PC3DM,periodic_interval,8,chr8,124000000,125600000,10000,124090000,124100000,2.7200234288266594
PC3DM,periodic_interval,8,chr8,124000000,125600000,10000,124100000,124110000,2.7214348283080403
PC3DM,periodic_interval,8,chr8,124000000,125600000,10000,124110000,124120000,2.807649513557767
PC3DM,periodic_interval,8,chr8,124000000,125600000,10000,124120000,124130000,2.8051771719467764
PC3DM,periodic_interval,8,chr8,124000000,125600000,10000,124130000,124140000,2.878301129458396
PC3DM,periodic_interval,8,chr8,124000000,125600000,10000,124140000,124150000,2.855436665790911
PC3DM,periodic_interval,8,chr8,124000000,125600000,10000,124150000,124160000,2.866012785169574
PC3DM,periodic_interval,8,chr8,124000000,125600000,10000,124160000,124170000,2.6919169290514997
PC3DM,periodic_interval,8,chr8,124000000,125600000,10000,124170000,124180000,2.758174374416849
PC3DM,periodic_interval,8,chr8,124000000,125600000,10000,124180000,124190000,2.7652225008555713
PC3DM,periodic_interval,8,chr8,124000000,125600000,10000,124190000,124200000,2.796221816151942
PC3DM,periodic_interval,8,chr8,124000000,125600000,10000,124200000,124210000,2.6999980061930677
PC3DM,periodic_interval,8,chr8,124000000,125600000,10000,124210000,124220000,2.8144141141085512
PC3DM,periodic_interval,8,chr8,124000000,125600000,10000,124220000,124230000,2.7267706098571183
PC3DM,periodic_interval,8,chr8,124000000,125600000,10000,124230000,124240000,2.725342610353386
PC3DM,periodic_interval,8,chr8,124000000,125600000,10000,124240000,124250000,2.7594714367939144
PC3DM,periodic_interval,8,chr8,124000000,125600000,10000,124250000,124260000,2.718255399392293
PC3DM,periodic_interval,8,chr8,124000000,125600000,10000,124260000,124270000,2.772482221921209
PC3DM,periodic_interval,8,chr8,124000000,125600000,10000,124270000,124280000,2.6894790377165725
PC3DM,periodic_interval,8,chr8,124000000,125600000,10000,124280000,124290000,2.8099622947133915
PC3DM,periodic_interval,8,chr8,124000000,125600000,10000,124290000,124300000,2.8403451019908497
PC3DM,periodic_interval,8,chr8,124000000,125600000,10000,124300000,124310000,2.8459434678678295
PC3DM,periodic_interval,8,chr8,124000000,125600000,10000,124310000,124320000,2.7787830461385727
PC3DM,periodic_interval,8,chr8,124000000,125600000,10000,124320000,124330000,2.812170122793597
PC3DM,periodic_interval,8,chr8,124000000,125600000,10000,124330000,124340000,2.8108313805013934
PC3DM,periodic_interval,8,chr8,124000000,125600000,10000,124340000,124350000,2.9516931735754115
PC3DM,periodic_interval,8,chr8,124000000,125600000,10000,124350000,124360000,2.9136160194669505
PC3DM,periodic_interval,8,chr8,124000000,125600000,10000,124360000,124370000,2.8725334548528396
PC3DM,periodic_interval,8,chr8,124000000,125600000,10000,124370000,124380000,2.8983745510572785
PC3DM,periodic_interval,8,chr8,124000000,125600000,10000,124380000,124390000,2.7352385510373414
PC3DM,periodic_interval,8,chr8,124000000,125600000,10000,124390000,124400000,2.977510262437581
PC3DM,periodic_interval,8,chr8,124000000,125600000,10000,124400000,124410000,2.9134849949814736
PC3DM,periodic_interval,8,chr8,124000000,125600000,10000,124410000,124420000,2.8458339530547545
