cell_line,analysis_type,chrom,requested_chrom,region_start_bp,region_end_bp,resolution_bp,bin_start_bp,bin_end_bp,timing_s_phase_midpoint
HSR,periodic_interval,8,chr8,128800000,130400000,10000,128800000,128810000,3.8687816579009473
HSR,periodic_interval,8,chr8,128800000,130400000,10000,128810000,128820000,4.005819266422766
HSR,periodic_interval,8,chr8,128800000,130400000,10000,128820000,128830000,2.7645664037235127
HSR,periodic_interval,8,chr8,128800000,130400000,10000,128830000,128840000,2.4622324574962184
HSR,periodic_interval,8,chr8,128800000,130400000,10000,128840000,128850000,3.9224609373890575
HSR,periodic_interval,8,chr8,128800000,130400000,10000,128850000,128860000,3.9791277343312013
HSR,periodic_interval,8,chr8,128800000,130400000,10000,128860000,128870000,4.499999969288528
HSR,periodic_interval,8,chr8,128800000,130400000,10000,128870000,128880000,3.2894062358584266
HSR,periodic_interval,8,chr8,128800000,130400000,10000,128880000,128890000,3.579127632712043
HSR,periodic_interval,8,chr8,128800000,130400000,10000,128890000,128900000,3.2432619474317264
HSR,periodic_interval,8,chr8,128800000,130400000,10000,128900000,128910000,3.4410334107977625
HSR,periodic_interval,8,chr8,128800000,130400000,10000,128910000,128920000,3.9772793396380486
HSR,periodic_interval,8,chr8,128800000,130400000,10000,128920000,128930000,3.9988393731111804
HSR,periodic_interval,8,chr8,128800000,130400000,10000,128930000,128940000,4.048300989823183
HSR,periodic_interval,8,chr8,128800000,130400000,10000,128940000,128950000,4.0465520561041
HSR,periodic_interval,8,chr8,128800000,130400000,10000,128950000,128960000,4.058748208256866
HSR,periodic_interval,8,chr8,128800000,130400000,10000,128960000,128970000,3.9941626054598465
HSR,periodic_interval,8,chr8,128800000,130400000,10000,128970000,128980000,3.9438796748264493
HSR,periodic_interval,8,chr8,128800000,130400000,10000,128980000,128990000,3.9561504464734036
HSR,periodic_interval,8,chr8,128800000,130400000,10000,128990000,129000000,3.960386033512823
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129000000,129010000,3.890525241645697
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129010000,129020000,3.969074797563259
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129020000,129030000,3.9341543562539725
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129030000,129040000,3.843675445020919
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129040000,129050000,3.854992336187444
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129050000,129060000,3.6656857984845304
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129060000,129070000,3.7541934964715717
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129070000,129080000,3.724481018429228
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129080000,129090000,3.79298302081987
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129090000,129100000,3.7325237300026473
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129100000,129110000,3.723779506309651
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129110000,129120000,3.712595090583673
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129120000,129130000,3.592141247619441
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129130000,129140000,3.6095813132666237
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129140000,129150000,3.56881380305763
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129150000,129160000,3.385049611034873
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129160000,129170000,3.5480168688187965
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129170000,129180000,3.439016855300104
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129180000,129190000,3.4665117263339287
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129190000,129200000,3.4056236589591076
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129200000,129210000,3.359343719088605
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129210000,129220000,3.3505131510974038
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129220000,129230000,3.3480008848680014
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129230000,129240000,3.399443742452409
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129240000,129250000,3.1356043092802937
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129250000,129260000,3.10579148236075
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129260000,129270000,3.171644990942869
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129270000,129280000,3.166223724263827
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129280000,129290000,2.8671165753574894
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129290000,129300000,3.0608733766040683
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129300000,129310000,2.95670137292883
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129310000,129320000,2.9623038016606014
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129320000,129330000,3.0122656046646066
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129330000,129340000,3.031635784250561
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129340000,129350000,3.0370233703303318
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129350000,129360000,2.9040775346492484
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129360000,129370000,3.0022523777871637
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129370000,129380000,2.779701637927845
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129380000,129390000,2.7352856968917614
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129390000,129400000,2.8522721268514966
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129400000,129410000,2.814327535423788
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129410000,129420000,2.9272543590685074
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129420000,129430000,2.9518210491241788
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129430000,129440000,2.843278113559012
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129440000,129450000,2.91747581317472
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129450000,129460000,2.7385255571877067
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129460000,129470000,2.805221281374487
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129470000,129480000,2.8386400251425243
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129480000,129490000,2.743628155345848
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129490000,129500000,2.794690350398471
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129500000,129510000,2.8749197933440582
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129510000,129520000,2.7186920419434637
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129520000,129530000,2.64077973706967
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129530000,129540000,2.6758516581324816
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129540000,129550000,2.6399428242348284
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129550000,129560000,2.6894553567848094
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129560000,129570000,2.6616900036603863
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129570000,129580000,2.6346401634674073
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129580000,129590000,2.5699445408880988
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129590000,129600000,2.517253297252286
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129600000,129610000,2.512207850621669
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129610000,129620000,2.406070149280191
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129620000,129630000,2.44128619803975
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129630000,129640000,2.451292806357679
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129640000,129650000,2.362498863955996
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129650000,129660000,2.4183721503708
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129660000,129670000,2.3533912003248587
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129670000,129680000,2.377125382801811
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129680000,129690000,2.3201780111933203
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129690000,129700000,2.297493751673592
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129700000,129710000,2.3053253529988065
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129710000,129720000,2.1619774312874687
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129720000,129730000,2.1171192216558943
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129730000,129740000,2.2182695969497113
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129740000,129750000,
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129750000,129760000,3.777138405455805
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129760000,129770000,2.500000279753255
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129770000,129780000,1.8225109194530038
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129780000,129790000,1.8139878872525734
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129790000,129800000,1.8809292687347743
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129800000,129810000,2.521172060540873
HSR,periodic_interval,8,chr8,128800000,130400000,10000,129810000,129820000,1.4696796600443647
