cell_line,analysis_type,chrom,requested_chrom,region_start_bp,region_end_bp,resolution_bp,bin_start_bp,bin_end_bp,timing_s_phase_midpoint
HSR,line_profile,1,chr1,0,248950000,10000,0,10000,2.500000279753255
HSR,line_profile,1,chr1,0,248950000,10000,10000,20000,2.0877931055490384
HSR,line_profile,1,chr1,0,248950000,10000,20000,30000,2.219390099144602
HSR,line_profile,1,chr1,0,248950000,10000,30000,40000,2.2575174563949787
HSR,line_profile,1,chr1,0,248950000,10000,40000,50000,1.864909933111748
HSR,line_profile,1,chr1,0,248950000,10000,50000,60000,2.8714761730717457
HSR,line_profile,1,chr1,0,248950000,10000,60000,70000,2.202115253257241
HSR,line_profile,1,chr1,0,248950000,10000,70000,80000,2.843126535033838
HSR,line_profile,1,chr1,0,248950000,10000,80000,90000,1.9546693210116814
HSR,line_profile,1,chr1,0,248950000,10000,90000,100000,2.3279724052951067
HSR,line_profile,1,chr1,0,248950000,10000,100000,110000,2.3712256708328385
HSR,line_profile,1,chr1,0,248950000,10000,110000,120000,2.0392093676941907
HSR,line_profile,1,chr1,0,248950000,10000,120000,130000,2.24358973909627
HSR,line_profile,1,chr1,0,248950000,10000,130000,140000,2.182641071203417
HSR,line_profile,1,chr1,0,248950000,10000,140000,150000,1.7490086107192393
HSR,line_profile,1,chr1,0,248950000,10000,150000,160000,1.8565732817732652
HSR,line_profile,1,chr1,0,248950000,10000,160000,170000,2.036800208015941
HSR,line_profile,1,chr1,0,248950000,10000,170000,180000,2.1333249109701162
HSR,line_profile,1,chr1,0,248950000,10000,180000,190000,2.328632878088463
HSR,line_profile,1,chr1,0,248950000,10000,190000,200000,2.357941153773857
HSR,line_profile,1,chr1,0,248950000,10000,200000,210000,2.251777239194439
HSR,line_profile,1,chr1,0,248950000,10000,210000,220000,
HSR,line_profile,1,chr1,0,248950000,10000,220000,230000,
HSR,line_profile,1,chr1,0,248950000,10000,230000,240000,
HSR,line_profile,1,chr1,0,248950000,10000,240000,250000,
HSR,line_profile,1,chr1,0,248950000,10000,250000,260000,1.9449639616979133
HSR,line_profile,1,chr1,0,248950000,10000,260000,270000,2.4234073781917718
HSR,line_profile,1,chr1,0,248950000,10000,270000,280000,2.3474930452473677
HSR,line_profile,1,chr1,0,248950000,10000,280000,290000,2.321801654502697
