cell_line,analysis_type,chrom,requested_chrom,region_start_bp,region_end_bp,resolution_bp,bin_start_bp,bin_end_bp,timing_s_phase_midpoint
RPE1,periodic_interval,8,chr8,124000000,125600000,10000,124000000,124010000,2.2840234157198553
RPE1,periodic_interval,8,chr8,124000000,125600000,10000,124010000,124020000,2.2918932359790833
RPE1,periodic_interval,8,chr8,124000000,125600000,10000,124020000,124030000,2.333387415884912
RPE1,periodic_interval,8,chr8,124000000,125600000,10000,124030000,124040000,2.336201844979817
RPE1,periodic_interval,8,chr8,124000000,125600000,10000,124040000,124050000,2.4253047110994617
RPE1,periodic_interval,8,chr8,124000000,125600000,10000,124050000,124060000,2.3744412453517914
RPE1,periodic_interval,8,chr8,124000000,125600000,10000,124060000,124070000,2.454410782435367
RPE1,periodic_interval,8,chr8,124000000,125600000,10000,124070000,124080000,2.427932987714746
RPE1,periodic_interval,8,chr8,124000000,125600000,10000,124080000,124090000,2.343350581831803
RPE1,periodic_interval,8,chr8,124000000,125600000,10000,124090000,124100000,2.4698757151859265
RPE1,periodic_interval,8,chr8,124000000,125600000,10000,124100000,124110000,2.4118301274508154
RPE1,periodic_interval,8,chr8,124000000,125600000,10000,124110000,124120000,2.3627764670621954
RPE1,periodic_interval,8,chr8,124000000,125600000,10000,124120000,124130000,2.2946784361800954
RPE1,periodic_interval,8,chr8,124000000,125600000,10000,124130000,124140000,2.3528086815106626
RPE1,periodic_interval,8,chr8,124000000,125600000,10000,124140000,124150000,2.3104799279822514
RPE1,periodic_interval,8,chr8,124000000,125600000,10000,124150000,124160000,2.2042899634212665
RPE1,periodic_interval,8,chr8,124000000,125600000,10000,124160000,124170000,2.256313567768722
RPE1,periodic_interval,8,chr8,124000000,125600000,10000,124170000,124180000,2.246916142388585
RPE1,periodic_interval,8,chr8,124000000,125600000,10000,124180000,124190000,2.1390528116078538
RPE1,periodic_interval,8,chr8,124000000,125600000,10000,124190000,124200000,2.144169036274735
RPE1,periodic_interval,8,chr8,124000000,125600000,10000,124200000,124210000,2.0535495130620784
RPE1,periodic_interval,8,chr8,124000000,125600000,10000,124210000,124220000,1.9471851025549072
RPE1,periodic_interval,8,chr8,124000000,125600000,10000,124220000,124230000,2.0944157553786598
RPE1,periodic_interval,8,chr8,124000000,125600000,10000,124230000,124240000,1.9774760929446242
RPE1,periodic_interval,8,chr8,124000000,125600000,10000,124240000,124250000,2.1215322369250322
RPE1,periodic_interval,8,chr8,124000000,125600000,10000,124250000,124260000,1.9787150359919758
RPE1,periodic_interval,8,chr8,124000000,125600000,10000,124260000,124270000,2.013165957340928
RPE1,periodic_interval,8,chr8,124000000,125600000,10000,124270000,124280000,2.128516102435291
RPE1,periodic_interval,8,chr8,124000000,125600000,10000,124280000,124290000,1.9803512759886572
RPE1,periodic_interval,8,chr8,124000000,125600000,10000,124290000,124300000,2.156079295921627
RPE1,periodic_interval,8,chr8,124000000,125600000,10000,124300000,124310000,2.1049626900844265
RPE1,periodic_interval,8,chr8,124000000,125600000,10000,124310000,124320000,2.0649770662290226
RPE1,periodic_interval,8,chr8,124000000,125600000,10000,124320000,124330000,2.1103223591630074
RPE1,periodic_interval,8,chr8,124000000,125600000,10000,124330000,124340000,2.1838370889637644
RPE1,periodic_interval,8,chr8,124000000,125600000,10000,124340000,124350000,2.2586150638126408
RPE1,periodic_interval,8,chr8,124000000,125600000,10000,124350000,124360000,2.2184467228010316
RPE1,periodic_interval,8,chr8,124000000,125600000,10000,124360000,124370000,2.257345993702157
RPE1,periodic_interval,8,chr8,124000000,125600000,10000,124370000,124380000,2.382561991826197
RPE1,periodic_interval,8,chr8,124000000,125600000,10000,124380000,124390000,2.3382020985435488
RPE1,periodic_interval,8,chr8,124000000,125600000,10000,124390000,124400000,2.3750481485324086
RPE1,periodic_interval,8,chr8,124000000,125600000,10000,124400000,124410000,2.311697332036475
RPE1,periodic_interval,8,chr8,124000000,125600000,10000,124410000,124420000,2.3552147054685215
RPE1,periodic_interval,8,chr8,124000000,125600000,10000,124420000,124430000,2.421154202858124
RPE1,periodic_interval,8,chr8,124000000,125600000,10000,124430000,124440000,2.2899670374203454
RPE1,periodic_interval,8,chr8,124000000,125600000,10000,124440000,124450000,2.4218016240964593
RPE1,periodic_interval,8,chr8,124000000,125600000,10000,124450000,124460000,2.4485832484236707
RPE1,periodic_interval,8,chr8,124000000,125600000,10000,124460000,124470000,2.4040146715750192
RPE1,periodic_interval,8,chr8,124000000,125600000,10000,124470000,124480000,2.393194975843517
RPE1,periodic_interval,8,chr8,124000000,125600000,10000,124480000,124490000,2.4221516931639036
RPE1,periodic_interval,8,chr8,124000000,125600000,10000,124490000,124500000,2.51893380111958
RPE1,periodic_interval,8,chr8,124000000,125600000,10000,124500000,124510000,2.5053311035459838
RPE1,periodic_interval,8,chr8,124000000,125600000,10000,124510000,124520000,2.497481876448712
RPE1,periodic_interval,8,chr8,124000000,125600000,10000,124520000,124530000,2.6169666815069395
RPE1,periodic_interval,8,chr8,124000000,125600000,10000,124530000,124540000,2.62621607637582
RPE1,periodic_interval,8,chr8,124000000,125600000,10000,124540000,124550000,2.564919527756457
RPE1,periodic_interval,8,chr8,124000000,125600000,10000,124550000,124560000,2.567344428554602
RPE1,periodic_interval,8,chr8,124000000,125600000,10000,124560000,124570000,2.5915053805359745
RPE1,periodic_interval,8,chr8,124000000,125600000,10000,124570000,124580000,2.600028362334967
RPE1,periodic_interval,8,chr8,124000000,125600000,10000,124580000,124590000,2.6476688011800324
RPE1,periodic_interval,8,chr8,124000000,125600000,10000,124590000,124600000,2.687315174699215
RPE1,periodic_interval,8,chr8,124000000,125600000,10000,124600000,124610000,2.672293205446201
