chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr12,chr13,chr14
86.573226,88.521977,90.0,78.082717,90.0,87.42992,90.0,90.0,86.337242,90.0,59.331429,90.0,90.0,90.0
84.709203,87.349686,89.162768,77.359661,88.508745,84.530963,88.974831,88.087674,85.680604,89.377482,57.984698,88.708604,89.366208,87.579732
82.84518,87.349686,88.325535,76.688251,86.165345,81.539239,87.437079,85.628968,84.317667,87.91988,58.094885,88.278138,88.732415,86.268753
80.613862,85.842455,87.934827,75.23353,84.177005,79.86944,87.334562,84.426934,83.858572,87.043041,58.866194,88.13465,88.610532,85.141128
79.952731,83.631849,87.327058,74.114514,82.188666,79.45199,86.719461,84.306731,83.590767,85.765362,58.976382,86.822755,88.312596,84.679077
81.715748,81.521726,87.109998,74.674022,80.200326,78.292407,85.181708,83.184833,82.251741,84.36242,57.415398,84.936907,87.344302,84.217025
81.164805,79.059915,87.109998,74.897825,79.135144,75.39345,84.962029,81.221511,80.912715,82.759058,55.165744,84.034979,86.408018,82.484333
78.850846,78.239311,85.866835,73.629607,77.359841,72.958326,85.254934,78.456834,80.060608,81.406221,53.719539,83.850494,85.947078,80.798789
78.630469,78.473769,83.451547,73.032799,74.41791,71.010227,84.024732,75.692156,80.164947,80.028331,52.851815,82.386911,84.679494,79.242902
79.732354,77.898281,82.279421,72.649136,71.475979,69.459699,82.111084,73.528495,79.782369,77.698445,51.694851,81.78426,82.720499,77.859892
80.693999,76.267731,81.30265,71.689979,69.345615,68.266986,80.744193,70.905876,78.252053,76.66294,50.923541,80.923329,81.184033,76.476881
81.325079,74.157608,79.674699,71.297597,67.925372,66.328826,79.874353,67.922647,76.052225,75.971013,51.309196,78.893992,81.051993,74.791337
80.994514,72.575015,78.372337,70.076852,65.937033,63.893702,78.01041,65.959325,75.215334,74.428818,51.519553,77.29512,80.76905,73.883736
79.275572,70.359385,76.883924,68.245735,63.593632,61.173953,75.307693,64.416715,75.717468,73.495042,51.987014,76.43419,79.561827,73.883736
77.308707,67.164056,75.558307,67.02499,62.954523,59.323891,72.604976,63.15458,74.378442,72.943886,52.147703,75.286282,78.082978,73.105793
75.341841,64.250075,76.046692,66.14758,62.19706,58.106329,69.560536,61.471732,73.039417,72.476238,51.665635,73.668775,75.864705,73.41697
72.060226,63.898388,76.372283,64.795435,59.829989,58.454204,67.314929,58.947462,71.834293,72.656103,51.941102,73.199177,74.370767,74.671109
69.395667,66.008512,76.372283,63.02366,59.072527,58.454204,66.026145,56.282953,69.513315,72.627196,51.734501,72.242587,73.616252,75.037817
67.081707,67.36502,77.023463,62.085661,59.4986,56.516044,65.843893,53.828801,67.484488,71.08229,51.252433,70.548056,72.478676,74.876465
64.150692,68.088491,78.000234,61.986924,57.672573,55.621509,66.071708,51.514886,67.241028,69.698435,50.42603,69.027451,71.235468,74.678444
62.299524,68.209069,78.697928,61.427416,54.426305,56.456409,65.04654,50.953937,68.580054,69.483699,48.528363,68.490767,70.457632,73.754341
61.506167,66.852561,78.697928,60.532203,52.812392,56.456409,62.882295,50.252751,69.249567,68.882438,47.4571,67.70363,69.521348,71.887277
60.018622,64.290268,79.367714,60.436288,54.140412,55.323331,60.923084,47.681734,68.962633,68.581808,46.68579,66.096559,68.729108,71.563134
