cell_line,analysis_type,chrom,requested_chrom,region_start_bp,region_end_bp,resolution_bp,bin_start_bp,bin_end_bp,timing_s_phase_midpoint
PC3DM,line_profile,1,chr1,0,248950000,10000,0,10000,2.9311903416887093
PC3DM,line_profile,1,chr1,0,248950000,10000,10000,20000,2.3053915487920262
PC3DM,line_profile,1,chr1,0,248950000,10000,20000,30000,1.9823875159502964
PC3DM,line_profile,1,chr1,0,248950000,10000,30000,40000,2.227508610384167
PC3DM,line_profile,1,chr1,0,248950000,10000,40000,50000,2.499638315713039
PC3DM,line_profile,1,chr1,0,248950000,10000,50000,60000,2.1270733262290435
PC3DM,line_profile,1,chr1,0,248950000,10000,60000,70000,2.3998182332926357
PC3DM,line_profile,1,chr1,0,248950000,10000,70000,80000,3.276507963263571
PC3DM,line_profile,1,chr1,0,248950000,10000,80000,90000,2.544452552602008
PC3DM,line_profile,1,chr1,0,248950000,10000,90000,100000,2.7188410335257602
PC3DM,line_profile,1,chr1,0,248950000,10000,100000,110000,2.708541665523551
PC3DM,line_profile,1,chr1,0,248950000,10000,110000,120000,2.6582489587643745
PC3DM,line_profile,1,chr1,0,248950000,10000,120000,130000,2.790085420767686
PC3DM,line_profile,1,chr1,0,248950000,10000,130000,140000,2.7460742557200715
PC3DM,line_profile,1,chr1,0,248950000,10000,140000,150000,2.3695771577460416
PC3DM,line_profile,1,chr1,0,248950000,10000,150000,160000,2.54723426280715
PC3DM,line_profile,1,chr1,0,248950000,10000,160000,170000,2.3383727963649172
PC3DM,line_profile,1,chr1,0,248950000,10000,170000,180000,2.5132029645756244
PC3DM,line_profile,1,chr1,0,248950000,10000,180000,190000,2.4512153234684226
PC3DM,line_profile,1,chr1,0,248950000,10000,190000,200000,2.3528309970349692
PC3DM,line_profile,1,chr1,0,248950000,10000,200000,210000,2.2816906298972874
PC3DM,line_profile,1,chr1,0,248950000,10000,210000,220000,
PC3DM,line_profile,1,chr1,0,248950000,10000,220000,230000,
PC3DM,line_profile,1,chr1,0,248950000,10000,230000,240000,
PC3DM,line_profile,1,chr1,0,248950000,10000,240000,250000,
PC3DM,line_profile,1,chr1,0,248950000,10000,250000,260000,2.2595167729121446
PC3DM,line_profile,1,chr1,0,248950000,10000,260000,270000,2.811844909251419
PC3DM,line_profile,1,chr1,0,248950000,10000,270000,280000,2.6874464655831485
PC3DM,line_profile,1,chr1,0,248950000,10000,280000,290000,2.6918109837658064
PC3DM,line_profile,1,chr1,0,248950000,10000,290000,300000,2.553128438924361
PC3DM,line_profile,1,chr1,0,248950000,10000,300000,310000,
PC3DM,line_profile,1,chr1,0,248950000,10000,310000,320000,
PC3DM,line_profile,1,chr1,0,248950000,10000,320000,330000,
PC3DM,line_profile,1,chr1,0,248950000,10000,330000,340000,
PC3DM,line_profile,1,chr1,0,248950000,10000,340000,350000,2.538028339226675
PC3DM,line_profile,1,chr1,0,248950000,10000,350000,360000,2.8985009584860753
PC3DM,line_profile,1,chr1,0,248950000,10000,360000,370000,2.8175183876169885
PC3DM,line_profile,1,chr1,0,248950000,10000,370000,380000,2.9956939704702603
