cell_line,analysis_type,chrom,requested_chrom,region_start_bp,region_end_bp,resolution_bp,bin_start_bp,bin_end_bp,timing_s_phase_midpoint
DM,line_profile,chr1,chr1,0,248950000,10000,0,10000,1.0000000000000002
DM,line_profile,chr1,chr1,0,248950000,10000,10000,20000,2.0629667076499123
DM,line_profile,chr1,chr1,0,248950000,10000,20000,30000,2.0535685054618673
DM,line_profile,chr1,chr1,0,248950000,10000,30000,40000,1.9548499583605181
DM,line_profile,chr1,chr1,0,248950000,10000,40000,50000,1.6416470918394026
DM,line_profile,chr1,chr1,0,248950000,10000,50000,60000,1.6911975993438775
DM,line_profile,chr1,chr1,0,248950000,10000,60000,70000,1.4675054355694157
DM,line_profile,chr1,chr1,0,248950000,10000,70000,80000,2.045141211233468
DM,line_profile,chr1,chr1,0,248950000,10000,80000,90000,1.6759431512396323
DM,line_profile,chr1,chr1,0,248950000,10000,90000,100000,2.4627255601454907
DM,line_profile,chr1,chr1,0,248950000,10000,100000,110000,2.48087692685639
DM,line_profile,chr1,chr1,0,248950000,10000,110000,120000,2.0780473536302146
DM,line_profile,chr1,chr1,0,248950000,10000,120000,130000,2.0949572820883016
DM,line_profile,chr1,chr1,0,248950000,10000,130000,140000,2.366335296452032
DM,line_profile,chr1,chr1,0,248950000,10000,140000,150000,1.8422166403852036
DM,line_profile,chr1,chr1,0,248950000,10000,150000,160000,1.8833433239206196
DM,line_profile,chr1,chr1,0,248950000,10000,160000,170000,2.152194040413309
DM,line_profile,chr1,chr1,0,248950000,10000,170000,180000,2.2543532743348873
DM,line_profile,chr1,chr1,0,248950000,10000,180000,190000,2.2788337203985467
DM,line_profile,chr1,chr1,0,248950000,10000,190000,200000,2.4776886930211703
DM,line_profile,chr1,chr1,0,248950000,10000,200000,210000,2.429408561185307
DM,line_profile,chr1,chr1,0,248950000,10000,210000,220000,
DM,line_profile,chr1,chr1,0,248950000,10000,220000,230000,
DM,line_profile,chr1,chr1,0,248950000,10000,230000,240000,
DM,line_profile,chr1,chr1,0,248950000,10000,240000,250000,
DM,line_profile,chr1,chr1,0,248950000,10000,250000,260000,1.9100289258005692
DM,line_profile,chr1,chr1,0,248950000,10000,260000,270000,2.533509511636687
DM,line_profile,chr1,chr1,0,248950000,10000,270000,280000,2.495383408619252
DM,line_profile,chr1,chr1,0,248950000,10000,280000,290000,2.3441920061522996
DM,line_profile,chr1,chr1,0,248950000,10000,290000,300000,2.2554478588878313
DM,line_profile,chr1,chr1,0,248950000,10000,300000,310000,
DM,line_profile,chr1,chr1,0,248950000,10000,310000,320000,
